name,grantsPlatform,amount,grantApprovalSource,fundingAuthorizationVote,percVoteWon,grantSubmissionUrl,funder,grantInitiative,grantToken,dateStart,endDt
Arbinauts,Questbook,11124,https://new.questbook.app/dashboard/?grantId=0x650b4a0dc2aec18f55adb72f13c5d95631db04be&chainId=10&role=community&proposalId=0x4e1&isRenderingProposalBody=true,,,https://new.questbook.app/dashboard/?grantId=0x650b4a0dc2aec18f55adb72f13c5d95631db04be&chainId=10&role=community&proposalId=0x4e1&isRenderingProposalBody=true,Questbook,"Arbitrum Education, Community Growth and Events",USDC,,
Layer3,Questbook,17500,https://new.questbook.app/dashboard/?grantId=0x650b4a0dc2aec18f55adb72f13c5d95631db04be&chainId=10&role=community&proposalId=0x520&isRenderingProposalBody=true,,,https://new.questbook.app/dashboard/?grantId=0x650b4a0dc2aec18f55adb72f13c5d95631db04be&chainId=10&role=community&proposalId=0x520&isRenderingProposalBody=true,Questbook,"Arbitrum Education, Community Growth and Events",USDC,,
Crypto al-Arabi,Questbook,14025,https://new.questbook.app/dashboard/?grantId=0x650b4a0dc2aec18f55adb72f13c5d95631db04be&chainId=10&role=community&proposalId=0x555&isRenderingProposalBody=true,,,https://new.questbook.app/dashboard/?grantId=0x650b4a0dc2aec18f55adb72f13c5d95631db04be&chainId=10&role=community&proposalId=0x555&isRenderingProposalBody=true,Questbook,"Arbitrum Education, Community Growth and Events",USDC,,
urbe.eth,Questbook,18850,https://new.questbook.app/dashboard/?grantId=0x650b4a0dc2aec18f55adb72f13c5d95631db04be&chainId=10&role=community&proposalId=0x5a4&isRenderingProposalBody=true,,,https://new.questbook.app/dashboard/?grantId=0x650b4a0dc2aec18f55adb72f13c5d95631db04be&chainId=10&role=community&proposalId=0x5a4&isRenderingProposalBody=true,Questbook,"Arbitrum Education, Community Growth and Events",USDC,,
The Rollup,Questbook,6250,https://new.questbook.app/dashboard/?grantId=0x650b4a0dc2aec18f55adb72f13c5d95631db04be&chainId=10&role=community&proposalId=0x576&isRenderingProposalBody=true,,,https://new.questbook.app/dashboard/?grantId=0x650b4a0dc2aec18f55adb72f13c5d95631db04be&chainId=10&role=community&proposalId=0x576&isRenderingProposalBody=true,Questbook,"Arbitrum Education, Community Growth and Events",USDC,,
The Blockchain Innovation Hub,Questbook,16000,https://new.questbook.app/dashboard/?grantId=0x650b4a0dc2aec18f55adb72f13c5d95631db04be&chainId=10&role=community&proposalId=0x53e&isRenderingProposalBody=true,,,https://new.questbook.app/dashboard/?grantId=0x650b4a0dc2aec18f55adb72f13c5d95631db04be&chainId=10&role=community&proposalId=0x53e&isRenderingProposalBody=true,Questbook,"Arbitrum Education, Community Growth and Events",USDC,,
MetricsDAO,Questbook,20500,https://new.questbook.app/dashboard/?grantId=0x650b4a0dc2aec18f55adb72f13c5d95631db04be&chainId=10&role=community&proposalId=0x49b&isRenderingProposalBody=true,,,https://new.questbook.app/dashboard/?grantId=0x650b4a0dc2aec18f55adb72f13c5d95631db04be&chainId=10&role=community&proposalId=0x49b&isRenderingProposalBody=true,Questbook,"Arbitrum Education, Community Growth and Events",USDC,,
Nearx Innovation School,Questbook,9500,https://new.questbook.app/dashboard/?grantId=0x650b4a0dc2aec18f55adb72f13c5d95631db04be&chainId=10&role=community&proposalId=0x47d&isRenderingProposalBody=true,,,https://new.questbook.app/dashboard/?grantId=0x650b4a0dc2aec18f55adb72f13c5d95631db04be&chainId=10&role=community&proposalId=0x47d&isRenderingProposalBody=true,Questbook,"Arbitrum Education, Community Growth and Events",USDC,,
DoDAO,Questbook,19500,https://new.questbook.app/dashboard/?grantId=0x650b4a0dc2aec18f55adb72f13c5d95631db04be&chainId=10&role=community&proposalId=0x499&isRenderingProposalBody=true,,,https://new.questbook.app/dashboard/?grantId=0x650b4a0dc2aec18f55adb72f13c5d95631db04be&chainId=10&role=community&proposalId=0x499&isRenderingProposalBody=true,Questbook,"Arbitrum Education, Community Growth and Events",USDC,,
Ethereum México,Questbook,5000,https://new.questbook.app/dashboard/?grantId=0x650b4a0dc2aec18f55adb72f13c5d95631db04be&chainId=10&role=community&proposalId=0x474&isRenderingProposalBody=true,,,https://new.questbook.app/dashboard/?grantId=0x650b4a0dc2aec18f55adb72f13c5d95631db04be&chainId=10&role=community&proposalId=0x474&isRenderingProposalBody=true,Questbook,"Arbitrum Education, Community Growth and Events",USDC,,
DeFi Africa,Questbook,9750,https://new.questbook.app/dashboard/?grantId=0x650b4a0dc2aec18f55adb72f13c5d95631db04be&chainId=10&role=community&proposalId=0x483&isRenderingProposalBody=true,,,https://new.questbook.app/dashboard/?grantId=0x650b4a0dc2aec18f55adb72f13c5d95631db04be&chainId=10&role=community&proposalId=0x483&isRenderingProposalBody=true,Questbook,"Arbitrum Education, Community Growth and Events",USDC,,
WorldWarDAO,Questbook,15000,https://new.questbook.app/dashboard/?grantId=0xbf93fc6825b5e9ba9a3d7fcf3d14cdfcf3b4c734&chainId=10&role=community&proposalId=65b4331ec78801149f4e9301,,,https://new.questbook.app/dashboard/?grantId=0xbf93fc6825b5e9ba9a3d7fcf3d14cdfcf3b4c734&chainId=10&role=community&proposalId=65b4331ec78801149f4e9301,Questbook,Arbitrum Gaming,USDC,,
Fair Protocol,Questbook,15000,https://new.questbook.app/dashboard/?grantId=0xbf93fc6825b5e9ba9a3d7fcf3d14cdfcf3b4c734&chainId=10&role=community&proposalId=0x5af&isRenderingProposalBody=true,,,https://new.questbook.app/dashboard/?grantId=0xbf93fc6825b5e9ba9a3d7fcf3d14cdfcf3b4c734&chainId=10&role=community&proposalId=0x5af&isRenderingProposalBody=true,Questbook,Arbitrum Gaming,USDC,,
Puzzled,Questbook,22500,https://new.questbook.app/dashboard/?grantId=0xbf93fc6825b5e9ba9a3d7fcf3d14cdfcf3b4c734&chainId=10&role=community&proposalId=0x5ad&isRenderingProposalBody=true,,,https://new.questbook.app/dashboard/?grantId=0xbf93fc6825b5e9ba9a3d7fcf3d14cdfcf3b4c734&chainId=10&role=community&proposalId=0x5ad&isRenderingProposalBody=true,Questbook,Arbitrum Gaming,USDC,,
DATA2073,Questbook,20000,https://new.questbook.app/dashboard/?grantId=0xbf93fc6825b5e9ba9a3d7fcf3d14cdfcf3b4c734&chainId=10&role=community&proposalId=0x5f9&isRenderingProposalBody=true,,,https://new.questbook.app/dashboard/?grantId=0xbf93fc6825b5e9ba9a3d7fcf3d14cdfcf3b4c734&chainId=10&role=community&proposalId=0x5f9&isRenderingProposalBody=true,Questbook,Arbitrum Gaming,USDC,,
Spike,Questbook,3500,https://new.questbook.app/dashboard/?grantId=0xbf93fc6825b5e9ba9a3d7fcf3d14cdfcf3b4c734&chainId=10&role=community&proposalId=0x628&isRenderingProposalBody=true,,,https://new.questbook.app/dashboard/?grantId=0xbf93fc6825b5e9ba9a3d7fcf3d14cdfcf3b4c734&chainId=10&role=community&proposalId=0x628&isRenderingProposalBody=true,Questbook,Arbitrum Gaming,USDC,,
Chaquer,Questbook,12000,https://new.questbook.app/dashboard/?grantId=0xbf93fc6825b5e9ba9a3d7fcf3d14cdfcf3b4c734&chainId=10&role=community&proposalId=0x469&isRenderingProposalBody=true,,,https://new.questbook.app/dashboard/?grantId=0xbf93fc6825b5e9ba9a3d7fcf3d14cdfcf3b4c734&chainId=10&role=community&proposalId=0x469&isRenderingProposalBody=true,Questbook,Arbitrum Gaming,USDC,,
Gaming Startup Collective,Questbook,6900,https://new.questbook.app/dashboard/?grantId=0xbf93fc6825b5e9ba9a3d7fcf3d14cdfcf3b4c734&chainId=10&role=community&proposalId=0x53d&isRenderingProposalBody=true,,,https://new.questbook.app/dashboard/?grantId=0xbf93fc6825b5e9ba9a3d7fcf3d14cdfcf3b4c734&chainId=10&role=community&proposalId=0x53d&isRenderingProposalBody=true,Questbook,Arbitrum Gaming,USDC,,
Land Labor and Capital,Questbook,18000,https://new.questbook.app/dashboard/?grantId=0xbf93fc6825b5e9ba9a3d7fcf3d14cdfcf3b4c734&chainId=10&role=community&proposalId=0x4a1&isRenderingProposalBody=true,,,https://new.questbook.app/dashboard/?grantId=0xbf93fc6825b5e9ba9a3d7fcf3d14cdfcf3b4c734&chainId=10&role=community&proposalId=0x4a1&isRenderingProposalBody=true,Questbook,Arbitrum Gaming,USDC,,
"Permadeath Studios, Inc",Questbook,22500,https://new.questbook.app/dashboard/?grantId=0xbf93fc6825b5e9ba9a3d7fcf3d14cdfcf3b4c734&chainId=10&role=community&proposalId=0x537&isRenderingProposalBody=true,,,https://new.questbook.app/dashboard/?grantId=0xbf93fc6825b5e9ba9a3d7fcf3d14cdfcf3b4c734&chainId=10&role=community&proposalId=0x537&isRenderingProposalBody=true,Questbook,Arbitrum Gaming,USDC,,
Gaming Chronicles,Questbook,3300,https://new.questbook.app/dashboard/?grantId=0xbf93fc6825b5e9ba9a3d7fcf3d14cdfcf3b4c734&chainId=10&role=community&proposalId=0x559&isRenderingProposalBody=true,,,https://new.questbook.app/dashboard/?grantId=0xbf93fc6825b5e9ba9a3d7fcf3d14cdfcf3b4c734&chainId=10&role=community&proposalId=0x559&isRenderingProposalBody=true,Questbook,Arbitrum Gaming,USDC,,
Spire,Questbook,17500,https://new.questbook.app/dashboard/?grantId=0xbf93fc6825b5e9ba9a3d7fcf3d14cdfcf3b4c734&chainId=10&role=community&proposalId=0x4c1&isRenderingProposalBody=true,,,https://new.questbook.app/dashboard/?grantId=0xbf93fc6825b5e9ba9a3d7fcf3d14cdfcf3b4c734&chainId=10&role=community&proposalId=0x4c1&isRenderingProposalBody=true,Questbook,Arbitrum Gaming,USDC,,
etherSource,Questbook,24000,https://new.questbook.app/dashboard/?grantId=0xbf93fc6825b5e9ba9a3d7fcf3d14cdfcf3b4c734&chainId=10&role=community&proposalId=0x556&isRenderingProposalBody=true,,,https://new.questbook.app/dashboard/?grantId=0xbf93fc6825b5e9ba9a3d7fcf3d14cdfcf3b4c734&chainId=10&role=community&proposalId=0x556&isRenderingProposalBody=true,Questbook,Arbitrum Gaming,USDC,,
Sapphire Studios,Questbook,25000,https://new.questbook.app/dashboard/?grantId=0xbf93fc6825b5e9ba9a3d7fcf3d14cdfcf3b4c734&chainId=10&role=community&proposalId=0x4de&isRenderingProposalBody=true,,,https://new.questbook.app/dashboard/?grantId=0xbf93fc6825b5e9ba9a3d7fcf3d14cdfcf3b4c734&chainId=10&role=community&proposalId=0x4de&isRenderingProposalBody=true,Questbook,Arbitrum Gaming,USDC,,
Smithonia,Questbook,25000,https://new.questbook.app/dashboard/?grantId=0xbf93fc6825b5e9ba9a3d7fcf3d14cdfcf3b4c734&chainId=10&role=community&proposalId=0x47b&isRenderingProposalBody=true,,,https://new.questbook.app/dashboard/?grantId=0xbf93fc6825b5e9ba9a3d7fcf3d14cdfcf3b4c734&chainId=10&role=community&proposalId=0x47b&isRenderingProposalBody=true,Questbook,Arbitrum Gaming,USDC,,
Frags,Questbook,5000,https://new.questbook.app/dashboard/?grantId=0xbf93fc6825b5e9ba9a3d7fcf3d14cdfcf3b4c734&chainId=10&role=community&proposalId=0x471&isRenderingProposalBody=true,,,https://new.questbook.app/dashboard/?grantId=0xbf93fc6825b5e9ba9a3d7fcf3d14cdfcf3b4c734&chainId=10&role=community&proposalId=0x471&isRenderingProposalBody=true,Questbook,Arbitrum Gaming,USDC,,
Chess.fish,Questbook,13500,https://new.questbook.app/dashboard/?grantId=0xbf93fc6825b5e9ba9a3d7fcf3d14cdfcf3b4c734&chainId=10&role=community&proposalId=0x4ad&isRenderingProposalBody=true,,,https://new.questbook.app/dashboard/?grantId=0xbf93fc6825b5e9ba9a3d7fcf3d14cdfcf3b4c734&chainId=10&role=community&proposalId=0x4ad&isRenderingProposalBody=true,Questbook,Arbitrum Gaming,USDC,,
Dhive,Questbook,15000,https://new.questbook.app/dashboard/?grantId=0x706bc8efecb6002f00a052fe5688d0eb89ea45f4&chainId=10&role=community&proposalId=659fd7a696b9fedd50452bba&isRenderingProposalBody=true,,,https://new.questbook.app/dashboard/?grantId=0x706bc8efecb6002f00a052fe5688d0eb89ea45f4&chainId=10&role=community&proposalId=659fd7a696b9fedd50452bba&isRenderingProposalBody=true,Questbook,Arbitrum Dev Tooling on One and NOVA,USDC,,
Blockful,,25000,https://new.questbook.app/dashboard/?grantId=0x706bc8efecb6002f00a052fe5688d0eb89ea45f4&chainId=10&role=community&proposalId=65b97f0ec78801149f5d1455&isRenderingProposalBody=true,,,https://new.questbook.app/dashboard/?grantId=0x706bc8efecb6002f00a052fe5688d0eb89ea45f4&chainId=10&role=community&proposalId=65b97f0ec78801149f5d1455&isRenderingProposalBody=true,Questbook,Arbitrum Dev Tooling on One and NOVA,USDC,,
L3MBDA,Questbook,12000,https://new.questbook.app/dashboard/?grantId=0x706bc8efecb6002f00a052fe5688d0eb89ea45f4&chainId=10&role=community&proposalId=0x5e6&isRenderingProposalBody=true,,,https://new.questbook.app/dashboard/?grantId=0x706bc8efecb6002f00a052fe5688d0eb89ea45f4&chainId=10&role=community&proposalId=0x5e6&isRenderingProposalBody=true,Questbook,Arbitrum Dev Tooling on One and NOVA,USDC,,
Tolga Yaycı,Questbook,18000,https://new.questbook.app/dashboard/?grantId=0x706bc8efecb6002f00a052fe5688d0eb89ea45f4&chainId=10&role=community&proposalId=0x5db&isRenderingProposalBody=true,,,https://new.questbook.app/dashboard/?grantId=0x706bc8efecb6002f00a052fe5688d0eb89ea45f4&chainId=10&role=community&proposalId=0x5db&isRenderingProposalBody=true,Questbook,Arbitrum Dev Tooling on One and NOVA,USDC,,
Mert Köklü,Questbook,20000,https://new.questbook.app/dashboard/?grantId=0x706bc8efecb6002f00a052fe5688d0eb89ea45f4&chainId=10&role=community&proposalId=0x5c5&isRenderingProposalBody=true,,,https://new.questbook.app/dashboard/?grantId=0x706bc8efecb6002f00a052fe5688d0eb89ea45f4&chainId=10&role=community&proposalId=0x5c5&isRenderingProposalBody=true,Questbook,Arbitrum Dev Tooling on One and NOVA,USDC,,
JiffyScan,Questbook,13000,https://new.questbook.app/dashboard/?grantId=0x706bc8efecb6002f00a052fe5688d0eb89ea45f4&chainId=10&role=community&proposalId=0x5a0&isRenderingProposalBody=true,,,https://new.questbook.app/dashboard/?grantId=0x706bc8efecb6002f00a052fe5688d0eb89ea45f4&chainId=10&role=community&proposalId=0x5a0&isRenderingProposalBody=true,Questbook,Arbitrum Dev Tooling on One and NOVA,USDC,,
DeFi Teller,Questbook,10520,https://new.questbook.app/dashboard/?grantId=0x706bc8efecb6002f00a052fe5688d0eb89ea45f4&chainId=10&role=community&proposalId=0x589&isRenderingProposalBody=true,,,https://new.questbook.app/dashboard/?grantId=0x706bc8efecb6002f00a052fe5688d0eb89ea45f4&chainId=10&role=community&proposalId=0x589&isRenderingProposalBody=true,Questbook,Arbitrum Dev Tooling on One and NOVA,USDC,,
Espacio Crypto,Questbook,8000,https://new.questbook.app/dashboard/?grantId=0x706bc8efecb6002f00a052fe5688d0eb89ea45f4&chainId=10&role=community&proposalId=0x51f&isRenderingProposalBody=true,,,https://new.questbook.app/dashboard/?grantId=0x706bc8efecb6002f00a052fe5688d0eb89ea45f4&chainId=10&role=community&proposalId=0x51f&isRenderingProposalBody=true,Questbook,Arbitrum Dev Tooling on One and NOVA,USDC,,
Bonadocs,Questbook,10000,https://new.questbook.app/dashboard/?grantId=0x706bc8efecb6002f00a052fe5688d0eb89ea45f4&chainId=10&role=community&proposalId=0x463&isRenderingProposalBody=true,,,https://new.questbook.app/dashboard/?grantId=0x706bc8efecb6002f00a052fe5688d0eb89ea45f4&chainId=10&role=community&proposalId=0x463&isRenderingProposalBody=true,Questbook,Arbitrum Dev Tooling on One and NOVA,USDC,,
Wasup Wallet,Questbook,12500,https://new.questbook.app/dashboard/?grantId=0x706bc8efecb6002f00a052fe5688d0eb89ea45f4&chainId=10&role=community&proposalId=0x4fa&isRenderingProposalBody=true,,,https://new.questbook.app/dashboard/?grantId=0x706bc8efecb6002f00a052fe5688d0eb89ea45f4&chainId=10&role=community&proposalId=0x4fa&isRenderingProposalBody=true,Questbook,Arbitrum Dev Tooling on One and NOVA,USDC,,
ShapeShift DAO,Questbook,13000,https://new.questbook.app/dashboard/?grantId=0x706bc8efecb6002f00a052fe5688d0eb89ea45f4&chainId=10&role=community&proposalId=0x49c&isRenderingProposalBody=true,,,https://new.questbook.app/dashboard/?grantId=0x706bc8efecb6002f00a052fe5688d0eb89ea45f4&chainId=10&role=community&proposalId=0x49c&isRenderingProposalBody=true,Questbook,Arbitrum Dev Tooling on One and NOVA,USDC,,
Laika,Questbook,12500,https://new.questbook.app/dashboard/?grantId=0x706bc8efecb6002f00a052fe5688d0eb89ea45f4&chainId=10&role=community&proposalId=0x496&isRenderingProposalBody=true,,,https://new.questbook.app/dashboard/?grantId=0x706bc8efecb6002f00a052fe5688d0eb89ea45f4&chainId=10&role=community&proposalId=0x496&isRenderingProposalBody=true,Questbook,Arbitrum Dev Tooling on One and NOVA,USDC,,
Oku,Gitcoin,60000,https://explorer.gitcoin.co/?utm_source=grants.gitcoin.co&utm_medium=internal_link&utm_campaign=gg19&utm_content=independent-rounds#/round/42161/0x6142eedc06d80f3b362ce43b4ac52fad679dc850/0x6142eedc06d80f3b362ce43b4ac52fad679dc850-22,,,https://explorer.gitcoin.co/?utm_source=grants.gitcoin.co&utm_medium=internal_link&utm_campaign=gg19&utm_content=independent-rounds#/round/42161/0x6142eedc06d80f3b362ce43b4ac52fad679dc850/0x6142eedc06d80f3b362ce43b4ac52fad679dc850-22,Uniswap;Arbitrum DAO,Uniswap-Arbitrum Grant Program,ARB,,
RabbitHole,Gitcoin,100000,https://explorer.gitcoin.co/?utm_source=grants.gitcoin.co&utm_medium=internal_link&utm_campaign=gg19&utm_content=independent-rounds#/round/42161/0x6142eedc06d80f3b362ce43b4ac52fad679dc850/0x6142eedc06d80f3b362ce43b4ac52fad679dc850-16,,,https://explorer.gitcoin.co/?utm_source=grants.gitcoin.co&utm_medium=internal_link&utm_campaign=gg19&utm_content=independent-rounds#/round/42161/0x6142eedc06d80f3b362ce43b4ac52fad679dc850/0x6142eedc06d80f3b362ce43b4ac52fad679dc850-16,Uniswap;Arbitrum DAO,Uniswap-Arbitrum Grant Program,ARB,,
Slash Payment,Gitcoin,N/A,https://explorer.gitcoin.co/?utm_source=grants.gitcoin.co&utm_medium=internal_link&utm_campaign=gg19&utm_content=independent-rounds#/round/42161/0x6142eedc06d80f3b362ce43b4ac52fad679dc850/0x6142eedc06d80f3b362ce43b4ac52fad679dc850-77,,,https://explorer.gitcoin.co/?utm_source=grants.gitcoin.co&utm_medium=internal_link&utm_campaign=gg19&utm_content=independent-rounds#/round/42161/0x6142eedc06d80f3b362ce43b4ac52fad679dc850/0x6142eedc06d80f3b362ce43b4ac52fad679dc850-77,Uniswap;Arbitrum DAO,Uniswap-Arbitrum Grant Program,ARB,,
Ephema,Gitcoin,"186,000",https://explorer.gitcoin.co/?utm_source=grants.gitcoin.co&utm_medium=internal_link&utm_campaign=gg19&utm_content=independent-rounds#/round/42161/0x6142eedc06d80f3b362ce43b4ac52fad679dc850/0x6142eedc06d80f3b362ce43b4ac52fad679dc850-21,,,https://explorer.gitcoin.co/?utm_source=grants.gitcoin.co&utm_medium=internal_link&utm_campaign=gg19&utm_content=independent-rounds#/round/42161/0x6142eedc06d80f3b362ce43b4ac52fad679dc850/0x6142eedc06d80f3b362ce43b4ac52fad679dc850-21,Uniswap;Arbitrum DAO,Uniswap-Arbitrum Grant Program,ARB,,
Revert Finance,Gitcoin,151000,https://explorer.gitcoin.co/?utm_source=grants.gitcoin.co&utm_medium=internal_link&utm_campaign=gg19&utm_content=independent-rounds#/round/42161/0x6142eedc06d80f3b362ce43b4ac52fad679dc850/0x6142eedc06d80f3b362ce43b4ac52fad679dc850-19,,,https://explorer.gitcoin.co/?utm_source=grants.gitcoin.co&utm_medium=internal_link&utm_campaign=gg19&utm_content=independent-rounds#/round/42161/0x6142eedc06d80f3b362ce43b4ac52fad679dc850/0x6142eedc06d80f3b362ce43b4ac52fad679dc850-19,Uniswap;Arbitrum DAO,Uniswap-Arbitrum Grant Program,ARB,,
ETH Bucharest,Gitcoin,N/A,https://explorer.gitcoin.co/#/round/42161/0xe6645e339be3d2036a18ec17aca62ae47e16207e,,,,Gitcoin;Arbitrum DAO,ETH Bucharest x Arbitrum DAO,ARB,,
AlphaBlocks,Gitcoin,N/A,https://explorer.gitcoin.co/#/round/42161/0xc5262fc451a72f68f83563e30126d9c1d5d77659/0xc5262fc451a72f68f83563e30126d9c1d5d77659-25,,,,Gitcoin;Arbitrum DAO,Glo Dollar x Arbitrum DAO,ARB,,
DAO Driven Crowdfunding,Gitcoin/Allo,6000,https://gov.gitcoin.co/t/allo-arbitrum-hackaton-hosted-by-buidlbox-allo-arbitrum/17508,,,https://app.buidlbox.io/projects/dao-drive,Allo;Arbitrum Foundation;Buidlbox,"Allo / Arbitrum hackaton Hosted by BuidlBox, Allo & Arbitrum",ARB,,
Spray,Gitcoin/Allo,14000,https://gov.gitcoin.co/t/allo-arbitrum-hackaton-hosted-by-buidlbox-allo-arbitrum/17508,,,https://app.buidlbox.io/projects/spray,Allo;Arbitrum Foundation;Buidlbox,"Allo / Arbitrum hackaton Hosted by BuidlBox, Allo & Arbitrum",ARB,,
Convction Voting App,Gitcoin,20000,https://gov.gitcoin.co/t/allo-arbitrum-hackaton-hosted-by-buidlbox-allo-arbitrum/17508,,,https://app.buidlbox.io/projects/convictio,Allo;Arbitrum Foundation;Buidlbox,"Allo / Arbitrum hackaton Hosted by BuidlBox, Allo & Arbitrum",ARB,,
Build3r Labs,Gitcoin/Allo,4000,https://gov.gitcoin.co/t/allo-arbitrum-hackaton-hosted-by-buidlbox-allo-arbitrum/17508,,,https://app.buidlbox.io/projects/builder,Allo;Arbitrum Foundation;Buidlbox,"Allo / Arbitrum hackaton Hosted by BuidlBox, Allo & Arbitrum",ARB,,
AGDM,Gitcoin/Allo,6000,https://gov.gitcoin.co/t/allo-arbitrum-hackaton-hosted-by-buidlbox-allo-arbitrum/17508,,,https://app.buidlbox.io/projects/rrd,Allo;Arbitrum Foundation;Buidlbox,"Allo / Arbitrum hackaton Hosted by BuidlBox, Allo & Arbitrum",ARB,,
Magari,Gitcoin/Allo,4000,https://gov.gitcoin.co/t/allo-arbitrum-hackaton-hosted-by-buidlbox-allo-arbitrum/17508,,,https://app.buidlbox.io/projects/margari,Allo;Arbitrum Foundation;Buidlbox,"Allo / Arbitrum hackaton Hosted by BuidlBox, Allo & Arbitrum",ARB,,
SolidGrant,Gitcoin/Allo,6000,https://gov.gitcoin.co/t/allo-arbitrum-hackaton-hosted-by-buidlbox-allo-arbitrum/17508,,,https://app.buidlbox.io/projects/solidgran,Allo;Arbitrum Foundation;Buidlbox,"Allo / Arbitrum hackaton Hosted by BuidlBox, Allo & Arbitrum",ARB,,
Alloliance,Gitcoin/Allo,10000,https://gov.gitcoin.co/t/allo-arbitrum-hackaton-hosted-by-buidlbox-allo-arbitrum/17508,,,https://app.buidlbox.io/projects/allolianc,Allo;Arbitrum Foundation;Buidlbox,"Allo / Arbitrum hackaton Hosted by BuidlBox, Allo & Arbitrum",ARB,,
Buidl3r,Gitcoin/Allo,6000,https://gov.gitcoin.co/t/allo-arbitrum-hackaton-hosted-by-buidlbox-allo-arbitrum/17508,,,https://app.buidlbox.io/projects/allo-expl,Allo;Arbitrum Foundation;Buidlbox,"Allo / Arbitrum hackaton Hosted by BuidlBox, Allo & Arbitrum",ARB,,
Allo Explorer,Gitcoin/Allo,3000,https://gov.gitcoin.co/t/allo-arbitrum-hackaton-hosted-by-buidlbox-allo-arbitrum/17508,,,https://app.buidlbox.io/projects/allo-expl,Allo;Arbitrum Foundation;Buidlbox,"Allo / Arbitrum hackaton Hosted by BuidlBox, Allo & Arbitrum",ARB,,
Ethereum Costa Rica,Gitcoin,,https://explorer.gitcoin.co/#/round/42161/0x0c12752d28a68fd3dc791826b3405b8803aa8a52/0x0c12752d28a68fd3dc791826b3405b8803aa8a52-5,,,https://explorer.gitcoin.co/#/round/42161/0x0c12752d28a68fd3dc791826b3405b8803aa8a52/0x0c12752d28a68fd3dc791826b3405b8803aa8a52-5,Arbitrum Foundation,Arbitrum Foundation,,,
attesta_mesta bot,Gitcoin,,https://explorer.gitcoin.co/#/round/42161/0x0c12752d28a68fd3dc791826b3405b8803aa8a52/0x0c12752d28a68fd3dc791826b3405b8803aa8a52-3,,,https://explorer.gitcoin.co/#/round/42161/0x0c12752d28a68fd3dc791826b3405b8803aa8a52/0x0c12752d28a68fd3dc791826b3405b8803aa8a52-3,Arbitrum Foundation,Arbitrum Foundation,,,
deCredit Score,Gitcoin,,https://explorer.gitcoin.co/#/round/42161/0x0c12752d28a68fd3dc791826b3405b8803aa8a52/0x0c12752d28a68fd3dc791826b3405b8803aa8a52-0,,,https://explorer.gitcoin.co/#/round/42161/0x0c12752d28a68fd3dc791826b3405b8803aa8a52/0x0c12752d28a68fd3dc791826b3405b8803aa8a52-0,Arbitrum Foundation,Arbitrum Foundation,,,
MesoReefDAO,Gitcoin,,https://explorer.gitcoin.co/#/round/42161/0x0c12752d28a68fd3dc791826b3405b8803aa8a52/0x0c12752d28a68fd3dc791826b3405b8803aa8a52-2,,,https://explorer.gitcoin.co/#/round/42161/0x0c12752d28a68fd3dc791826b3405b8803aa8a52/0x0c12752d28a68fd3dc791826b3405b8803aa8a52-2,Arbitrum Foundation,Arbitrum Foundation,,,
Nerds.World,Gitcoin,,https://explorer.gitcoin.co/#/round/42161/0x0c12752d28a68fd3dc791826b3405b8803aa8a52/0x0c12752d28a68fd3dc791826b3405b8803aa8a52-2,,,https://explorer.gitcoin.co/#/round/42161/0x0c12752d28a68fd3dc791826b3405b8803aa8a52/0x0c12752d28a68fd3dc791826b3405b8803aa8a52-2,Arbitrum Foundation,Arbitrum Foundation,,,
Tucan,Gitcoin,,https://explorer.gitcoin.co/#/round/42161/0x0c12752d28a68fd3dc791826b3405b8803aa8a52/0x0c12752d28a68fd3dc791826b3405b8803aa8a52-4,,,https://explorer.gitcoin.co/#/round/42161/0x0c12752d28a68fd3dc791826b3405b8803aa8a52/0x0c12752d28a68fd3dc791826b3405b8803aa8a52-4,Arbitrum Foundation,Arbitrum Foundation,,,
ArbitrumDAO Delegates,Gitcoin,,https://checker.gitcoin.co/public/project/show/arbitrumdao-delegates,,,https://checker.gitcoin.co/public/round/show/ajOOG1VAn,Arbitrum Foundation,Arbitrum Citizens Retrofunding Round 1,,,
Larva,Gitcoin,,https://checker.gitcoin.co/public/project/show/larva,,,https://checker.gitcoin.co/public/project/show/larva,Arbitrum Foundation,Arbitrum Citizens Retrofunding Round 1,,,
Ouroboros Research,Gitcoin,,https://checker.gitcoin.co/public/project/show/0xramen-governance-dashboards-education,,,https://checker.gitcoin.co/public/project/show/0xramen-governance-dashboards-education,Arbitrum Foundation,Arbitrum Citizens Retrofunding Round 1,,,
Atomist,Gitcoin,,https://checker.gitcoin.co/public/project/show/atomist,,,https://checker.gitcoin.co/public/project/show/atomist,Arbitrum Foundation,Arbitrum Citizens Retrofunding Round 1,,,
Arbitrum STIP StreamTracker,Gitcoin,,https://checker.gitcoin.co/public/project/show/arbitrum-stip-stream-tracker,,,https://checker.gitcoin.co/public/project/show/arbitrum-stip-stream-tracker,Arbitrum Foundation,Arbitrum Citizens Retrofunding Round 1,,,
InBest Program,Gitcoin,,https://checker.gitcoin.co/public/project/show/inbest-program-1,,,https://checker.gitcoin.co/public/project/show/inbest-program-1,Arbitrum Foundation,Arbitrum Citizens Retrofunding Round 1,,,
