name,grantsPlatform,amount,grantApprovalSource,fundingAuthorizationVote,percVoteWon,grantSubmissionUrl,funder,grantInitiative,grantToken,dateStart,endDt
dForce,Tally,1000000,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0xfd973e0ea26cee54a45f9894ac9be82b87dc2e1f2aa73ba2c3eba83f47201ff4,https://www.tally.xyz/gov/arbitrum/proposal/13413460212244439965325761903593975061091934953503684497413508380387288651335?chart=0,66.03%,https://forum.arbitrum.foundation/t/dforce-final-stip-round-1/16988,Arbitrum DAO,STIP - Round 1,ARB,,
Sanko GameCorp,Tally,500000,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0xe80e8f5e41070cbd992625b4edc829bbbcd2392e83b4941d8c17bbd829477358,https://www.tally.xyz/gov/arbitrum/proposal/13413460212244439965325761903593975061091934953503684497413508380387288651335?chart=0,53.84%,https://forum.arbitrum.foundation/t/sanko-gamecorp-final-stip-round-1/17486,Arbitrum DAO,STIP - Round 1,ARB,,
Ramses,Tally,1248000,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0xb81842bee7514dc270a7ba1d57766ac99fcbf774d02745de335037247f5b97bf,https://www.tally.xyz/gov/arbitrum/proposal/13413460212244439965325761903593975061091934953503684497413508380387288651335?chart=0,66.42%,https://forum.arbitrum.foundation/t/ramses-final-stip-round-1/16856,Arbitrum DAO,STIP - Round 1,ARB,,
Vela Exchange,Tally,1000000,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0x4b9b9a636554d52a2b925f6aa40eb7ad626181a63f9d0a62c4a0537302d53d87,https://www.tally.xyz/gov/arbitrum/proposal/13413460212244439965325761903593975061091934953503684497413508380387288651335?chart=0,66.03%,https://forum.arbitrum.foundation/t/vela-exchange-final-stip-round-1/17280,Arbitrum DAO,STIP - Round 1,ARB,,
Thetanuts Finance,Tally,200000,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0x61a4311cc427b02bf6f69a7f1d262b7a50998d37916564934194fb1eefee8a6e,https://www.tally.xyz/gov/arbitrum/proposal/13413460212244439965325761903593975061091934953503684497413508380387288651335?chart=0,58.46%,https://forum.arbitrum.foundation/t/thetanuts-finance-final-stip-round-1/17539,Arbitrum DAO,STIP - Round 1,ARB,,
Jones DAO,Tally,200000,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0xb8798bb81535a45813f55d07fcc030ac003a450b7b8177c16972cd37f60211bc,https://www.tally.xyz/gov/arbitrum/proposal/13413460212244439965325761903593975061091934953503684497413508380387288651335?chart=0,97.50%,https://forum.arbitrum.foundation/t/jojo-exchange-final-stip-round-1/16941,Arbitrum DAO,STIP - Round 1,ARB,,
Wormhole Foundation,Tally,1800000,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0x0aca1e2dd1d7ac5f6b687fe68fc8ed11affbb0ea261511736cc50498d55006a2,https://www.tally.xyz/gov/arbitrum/proposal/13413460212244439965325761903593975061091934953503684497413508380387288651335?chart=0,56.77%,https://forum.arbitrum.foundation/t/wormhole-final-stip-round-1/16617,Arbitrum DAO,STIP - Round 1,ARB,,
Shell Protocol,Tally,750000,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0x2ca200dbcc6eabbee282e82c458be2a7188c47dc4e71979aa3b04f1f91dd1886,https://www.tally.xyz/gov/arbitrum/proposal/13413460212244439965325761903593975061091934953503684497413508380387288651335?chart=0,66.92%,https://forum.arbitrum.foundation/t/shell-protocol-final-stip-round-1/17517,Arbitrum DAO,STIP - Round 1,ARB,,
Realm,Tally,300000,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0xaa70ce32349090c4a0732188cca3a4a52c4ad381fff6b85cebd1615d1147b41c,https://www.tally.xyz/gov/arbitrum/proposal/13413460212244439965325761903593975061091934953503684497413508380387288651335?chart=0,57.46%,https://forum.arbitrum.foundation/t/realm-final-stip-round-1/17423,Arbitrum DAO,STIP - Round 1,ARB,,
unshETH,Tally,375000,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0x40604b0134f09996041ae087308a5d67ef601943d5f9e556eb5a6c7363c9563e,https://www.tally.xyz/gov/arbitrum/proposal/13413460212244439965325761903593975061091934953503684497413508380387288651335?chart=0,59.57%,https://forum.arbitrum.foundation/t/unsheth-final-stip-round-1/17537,Arbitrum DAO,STIP - Round 1,ARB,,
StakeDAO,Tally,200000,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0x881849ef110e3097c812cc69249f17680aa90606aac98f9d4aaf38e12b9162a0,https://www.tally.xyz/gov/arbitrum/proposal/13413460212244439965325761903593975061091934953503684497413508380387288651335?chart=0,53.03%,https://forum.arbitrum.foundation/t/stakedao-final-stip-round-1/16770,Arbitrum DAO,STIP - Round 1,ARB,,
Umami Finance,Tally,750000,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0xad923a4ff0ea227bd9e8693b64125a945ad27d7ccd8ae9e5ecf79b76f9b4a52a,https://forum.arbitrum.foundation/t/umami-finance-final-stip-round-1/17203,84.38,https://forum.arbitrum.foundation/t/openocean-final-stip-round-1/17564,Arbitrum DAO,STIP - Round 1,ARB,,
OpenOcean,Tally,500000,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0x8a511e833021b64d63bf518eb9ff447216d83dac9235243f3a139f699d1f98ee,,88.79,https://forum.arbitrum.foundation/t/openocean-final-stip-round-1/17564,Arbitrum DAO,STIP - Round 1,ARB,,
Stella,Tally,186000,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0x82becb89a519f2ddb75811fbcc3b47ae8349003c126eea9039bbcef981852cb2,,94.81,https://forum.arbitrum.foundation/t/stella-final-stip-round-1/17328,Arbitrum DAO,STIP - Round 1,ARB,,
Trader Joe,Tally,1510000,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0x7c3c3c7386961fe79dea98e8acef576a57b234e53d14e21b1b8bb51baed5e8a4,,84.48,https://forum.arbitrum.foundation/t/trader-joe-final-stip-round-1/17013,Arbitrum DAO,STIP - Round 1,ARB,,
KyberSwap,Tally,1500000,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0x8ca12ce0c337ef44a7301455197ece2948c9223528a4197ad3ede6960caa6f4a,,95.41,https://forum.arbitrum.foundation/t/kyberswap-final-stip-round-1/17317,Arbitrum DAO,STIP - Round 1,ARB,,
