name,websiteUrl,twitterHandle,githubHandle,duneHandle,fundingWalletAddress,,,
Stella,stellaxyz.io/,stellaxyz_,stellaxyz,,0x2e39FbB069aCcD1959D003297250129879eb20A1,,,
Trader Joe,traderjoexyz.com/arbitrum,traderjoe_xyz,traderjoe-xyz/,,0x0A56ba03cC70582EA512f44B86d19aCDd631f475,,,
KyberSwap,kyberswap.com/swap/arbitrum,KyberNetwork,KyberNetwork,,,,,
Pendle,pendle.finance/,pendle_fi,pendle-finance,,0x7877AdFaDEd756f3248a0EBfe8Ac2E2eF87b75Ac,,,
Premia,premia.blue/,PremiaFinance,Premian-Labs,,0xAE4fB6622F25f397587F11638dA8CE88C27b5645,,,
Radiant DAO,radiant.capital/,RDNTCapital,radiant-capital/v2,,0x712e3396F039243aBda1858B5b85cdCDD0878976,,,
WINR Protocol,winr.games/,WINRProtocol,winrprotocol/WINR_Protocol,,,,,
Rari Foundation,rari.foundation/,rarifoundation,,,,,,
Questbook,questbook.xyz/,,,,,,,
TogetherCrew,t.co/z36tzy7XUc,together_crew,,,0x929600D6622C51D495997f8F1b6cadd1D661C753,,,
Unitap,unitap.app/,Unitap_app,UnitapApp,,,,,
Scattering,rentfun.io,scattering_io,RentFun,,0x4d3a8F683F2D27Cc38E638BF5398d4a9Bd548B85,,,
Mystic,withmystic.xyz,withmysticxyz,,,0x0F19a93bD8AF68fd8F43e55Fe837af0bAE733b64,,,
AMLOK,,,,,0x120C1920656188d4F00F6De37D1Da7fdCcAC4A9A,,,
Buddy Guard,,buddyguard,Buddy-Guard,,0xA7Dfb74dd1a052eF9cfCDDe7F5Bf2843E6715C96,,,
Hunt NFT,,huntnft_real,,,0xF6F3c7BFBe4e8B6c5ee54557EE5C7B8ABf1F3B81,,,
Wallet Labels,walletlabels.xyz,,,,,,,
Pear Protocol,pear.garden,pear_protocol,,,0x120C1920656188d4F00F6De37D1Da7fdCcAC4A9A,,,
CRIPTO NO PIX,criptonopix.app.br,criptonopix,,,0x120C1920656188d4F00F6De37D1Da7fdCcAC4A9A,,,
Amelia (The Arbitrum Copilot),,,,,0x5568416Fc7E9D575277c78a4f8272e873839f001,,,
Smilee,smilee.finance,SmileeFinance,,,,,,
Build3rs Labs,build3rslabs.com,VelodromeAlerts,chrisarevalo11/Build3r,,0xfA019D2A000fc2d3cbf8C1f6208f6aBfDF5A5347,,,
Mountain Protocol,mountainprotocol.com,MountainUSDM,,,0x120C1920656188d4F00F6De37D1Da7fdCcAC4A9A,,,
Sweep n Flip,sweepnflip.io,SweepnFlip,orgs/sweep-n-flip,,0x120C1920656188d4F00F6De37D1Da7fdCcAC4A9A,,,
One Click Crypto,https://www.oneclick.fi/,oneclickcrypto,,,0x9697f47318ae3F33BDD6cC8739fb0979F1b8134D,,,
Giveth,giveth.io,Giveth,Giveth,,0x634977e11C823a436e587C1a1Eca959588C64287,,,
Clique,clique.social,Clique2046,CliqueOfficial,,,,,
ETH Gathering,ethgathering.com,ethgathering,,,0x5A200F852cb5f205b6658f0ae81756153E8c8b69,,,
CryptoGalaxy,,cryptogalaxy,,,0x5C453D32fc990E18EC5157511655aF3b32Ba5922,,,
LearnWeb3,learnweb3.io,LearnWeb3DAO,,,0x2665A20AAadB060a80F7871d547aEE9182De0A86,,,
Web3Chennai,,web3chennai,,,0xE15420f66Fd4285E5Ee3036A39CE086913bF370c,,,
