address,votes,funded_entities
0x3e137dfed2b985b9d577665fd25814a5508874ad,52,"[Good Entry Labs, Jones DAO, D2 Finance, Silo Labs, Thales, Sanko GameCorp, Camelot Exchange, Rodeo Finance, Dolomite, Furucombo, Vertex Protocol, Thetanuts Finance, PancakeSwap, Timeswap, DefiEdge, StakeDAO, WOOFi, CVI, Gamma, Perennial Finance, Wormhole Foundation, Angle Protocol, Magpie, Solv Protocol, Realm, dForce, Balancer DAO, Vela Exchange, Stargate Finance, MUX Protocol, Tally, Dopex, GMX, Lodestar Finance, Frax Finance, Abracadabra DAO, Umami Finance, OpenOcean, Stella, Notional, Gains Network, Trader Joe, KyberSwap, Pendle, Ramses, Shell Protocol, unshETH, Premia, RabbitHole, Radiant DAO, WINR Protocol, Tales of Elleria]"
0xae61997b085aed796be97e4580356fb04c61dbfc,52,"[Good Entry Labs, Jones DAO, D2 Finance, Silo Labs, Thales, Sanko GameCorp, Camelot Exchange, Rodeo Finance, Dolomite, Furucombo, Vertex Protocol, Thetanuts Finance, PancakeSwap, Timeswap, DefiEdge, StakeDAO, WOOFi, CVI, Gamma, Perennial Finance, Wormhole Foundation, Angle Protocol, Magpie, Solv Protocol, Realm, dForce, Balancer DAO, Vela Exchange, Stargate Finance, MUX Protocol, Tally, Dopex, GMX, Lodestar Finance, Frax Finance, Abracadabra DAO, Umami Finance, OpenOcean, Stella, Notional, Gains Network, Trader Joe, KyberSwap, Pendle, Ramses, Shell Protocol, unshETH, Premia, RabbitHole, Radiant DAO, WINR Protocol, Tales of Elleria]"
0x03691007a1ca6a3364939697e53fcff3120cab41,52,"[Good Entry Labs, Jones DAO, D2 Finance, Silo Labs, Thales, Sanko GameCorp, Camelot Exchange, Rodeo Finance, Dolomite, Furucombo, Vertex Protocol, Thetanuts Finance, PancakeSwap, Timeswap, DefiEdge, StakeDAO, WOOFi, CVI, Gamma, Perennial Finance, Wormhole Foundation, Angle Protocol, Magpie, Solv Protocol, Realm, dForce, Balancer DAO, Vela Exchange, Stargate Finance, MUX Protocol, Tally, Dopex, GMX, Lodestar Finance, Frax Finance, Abracadabra DAO, Umami Finance, OpenOcean, Stella, Notional, Gains Network, Trader Joe, KyberSwap, Pendle, Ramses, Shell Protocol, unshETH, Premia, RabbitHole, Radiant DAO, WINR Protocol, Tales of Elleria]"
0x7edaf8928174f901e6cbd89e1323b9a7275d0714,52,"[Good Entry Labs, Jones DAO, D2 Finance, Silo Labs, Thales, Sanko GameCorp, Camelot Exchange, Rodeo Finance, Dolomite, Furucombo, Vertex Protocol, Thetanuts Finance, PancakeSwap, Timeswap, DefiEdge, StakeDAO, WOOFi, CVI, Gamma, Perennial Finance, Wormhole Foundation, Angle Protocol, Magpie, Solv Protocol, Realm, dForce, Balancer DAO, Vela Exchange, Stargate Finance, MUX Protocol, Tally, Dopex, GMX, Lodestar Finance, Frax Finance, Abracadabra DAO, Umami Finance, OpenOcean, Stella, Notional, Gains Network, Trader Joe, KyberSwap, Pendle, Ramses, Shell Protocol, unshETH, Premia, RabbitHole, Radiant DAO, WINR Protocol, Tales of Elleria]"
0xd0fecf8b1fca2f2fa0e62aa79ca54bb43fc89285,52,"[Good Entry Labs, Jones DAO, D2 Finance, Silo Labs, Thales, Sanko GameCorp, Camelot Exchange, Rodeo Finance, Dolomite, Furucombo, Vertex Protocol, Thetanuts Finance, PancakeSwap, Timeswap, DefiEdge, StakeDAO, WOOFi, CVI, Gamma, Perennial Finance, Wormhole Foundation, Angle Protocol, Magpie, Solv Protocol, Realm, dForce, Balancer DAO, Vela Exchange, Stargate Finance, MUX Protocol, Tally, Dopex, GMX, Lodestar Finance, Frax Finance, Abracadabra DAO, Umami Finance, OpenOcean, Stella, Notional, Gains Network, Trader Joe, KyberSwap, Pendle, Ramses, Shell Protocol, unshETH, Premia, RabbitHole, Radiant DAO, WINR Protocol, Tales of Elleria]"
0xe3187c6228e20eb0f4f460a7924d99bcbc32d0cc,52,"[Good Entry Labs, Jones DAO, D2 Finance, Silo Labs, Thales, Sanko GameCorp, Camelot Exchange, Rodeo Finance, Dolomite, Furucombo, Vertex Protocol, Thetanuts Finance, PancakeSwap, Timeswap, DefiEdge, StakeDAO, WOOFi, CVI, Gamma, Perennial Finance, Wormhole Foundation, Angle Protocol, Magpie, Solv Protocol, Realm, dForce, Balancer DAO, Vela Exchange, Stargate Finance, MUX Protocol, Tally, Dopex, GMX, Lodestar Finance, Frax Finance, Abracadabra DAO, Umami Finance, OpenOcean, Stella, Notional, Gains Network, Trader Joe, KyberSwap, Pendle, Ramses, Shell Protocol, unshETH, Premia, RabbitHole, Radiant DAO, WINR Protocol, Tales of Elleria]"
0x34ceab801d6de979b55a1ea21feb15fc77b78834,52,"[Good Entry Labs, Jones DAO, D2 Finance, Silo Labs, Thales, Sanko GameCorp, Camelot Exchange, Rodeo Finance, Dolomite, Furucombo, Vertex Protocol, Thetanuts Finance, PancakeSwap, Timeswap, DefiEdge, StakeDAO, WOOFi, CVI, Gamma, Perennial Finance, Wormhole Foundation, Angle Protocol, Magpie, Solv Protocol, Realm, dForce, Balancer DAO, Vela Exchange, Stargate Finance, MUX Protocol, Tally, Dopex, GMX, Lodestar Finance, Frax Finance, Abracadabra DAO, Umami Finance, OpenOcean, Stella, Notional, Gains Network, Trader Joe, KyberSwap, Pendle, Ramses, Shell Protocol, unshETH, Premia, RabbitHole, Radiant DAO, WINR Protocol, Tales of Elleria]"
0xc8808c322a6d4d97b497d7f6b2004d8df4eee3e5,52,"[Good Entry Labs, Jones DAO, D2 Finance, Silo Labs, Thales, Sanko GameCorp, Camelot Exchange, Rodeo Finance, Dolomite, Furucombo, Vertex Protocol, Thetanuts Finance, PancakeSwap, Timeswap, DefiEdge, StakeDAO, WOOFi, CVI, Gamma, Perennial Finance, Wormhole Foundation, Angle Protocol, Magpie, Solv Protocol, Realm, dForce, Balancer DAO, Vela Exchange, Stargate Finance, MUX Protocol, Tally, Dopex, GMX, Lodestar Finance, Frax Finance, Abracadabra DAO, Umami Finance, OpenOcean, Stella, Notional, Gains Network, Trader Joe, KyberSwap, Pendle, Ramses, Shell Protocol, unshETH, Premia, RabbitHole, Radiant DAO, WINR Protocol, Tales of Elleria]"
0x1d04ba76cbc13f4b6f79f4e25dd6edb0aafc2387,52,"[Good Entry Labs, Jones DAO, D2 Finance, Silo Labs, Thales, Sanko GameCorp, Camelot Exchange, Rodeo Finance, Dolomite, Furucombo, Vertex Protocol, Thetanuts Finance, PancakeSwap, Timeswap, DefiEdge, StakeDAO, WOOFi, CVI, Gamma, Perennial Finance, Wormhole Foundation, Angle Protocol, Magpie, Solv Protocol, Realm, dForce, Balancer DAO, Vela Exchange, Stargate Finance, MUX Protocol, Tally, Dopex, GMX, Lodestar Finance, Frax Finance, Abracadabra DAO, Umami Finance, OpenOcean, Stella, Notional, Gains Network, Trader Joe, KyberSwap, Pendle, Ramses, Shell Protocol, unshETH, Premia, RabbitHole, Radiant DAO, WINR Protocol, Tales of Elleria]"
0x4c9674d474740b5a7191f61a41dc490dc8c2f5a5,52,"[Good Entry Labs, Jones DAO, D2 Finance, Silo Labs, Thales, Sanko GameCorp, Camelot Exchange, Rodeo Finance, Dolomite, Furucombo, Vertex Protocol, Thetanuts Finance, PancakeSwap, Timeswap, DefiEdge, StakeDAO, WOOFi, CVI, Gamma, Perennial Finance, Wormhole Foundation, Angle Protocol, Magpie, Solv Protocol, Realm, dForce, Balancer DAO, Vela Exchange, Stargate Finance, MUX Protocol, Tally, Dopex, GMX, Lodestar Finance, Frax Finance, Abracadabra DAO, Umami Finance, OpenOcean, Stella, Notional, Gains Network, Trader Joe, KyberSwap, Pendle, Ramses, Shell Protocol, unshETH, Premia, RabbitHole, Radiant DAO, WINR Protocol, Tales of Elleria]"
0x6fa636a6f47052d4513bc0960444bc2f1661c926,52,"[Good Entry Labs, Jones DAO, D2 Finance, Silo Labs, Thales, Sanko GameCorp, Camelot Exchange, Rodeo Finance, Dolomite, Furucombo, Vertex Protocol, Thetanuts Finance, PancakeSwap, Timeswap, DefiEdge, StakeDAO, WOOFi, CVI, Gamma, Perennial Finance, Wormhole Foundation, Angle Protocol, Magpie, Solv Protocol, Realm, dForce, Balancer DAO, Vela Exchange, Stargate Finance, MUX Protocol, Tally, Dopex, GMX, Lodestar Finance, Frax Finance, Abracadabra DAO, Umami Finance, OpenOcean, Stella, Notional, Gains Network, Trader Joe, KyberSwap, Pendle, Ramses, Shell Protocol, unshETH, Premia, RabbitHole, Radiant DAO, WINR Protocol, Tales of Elleria]"
0x7ba3ec56ecb65805506f5df3dc9ad794f7aa13cd,52,"[Good Entry Labs, Jones DAO, D2 Finance, Silo Labs, Thales, Sanko GameCorp, Camelot Exchange, Rodeo Finance, Dolomite, Furucombo, Vertex Protocol, Thetanuts Finance, PancakeSwap, Timeswap, DefiEdge, StakeDAO, WOOFi, CVI, Gamma, Perennial Finance, Wormhole Foundation, Angle Protocol, Magpie, Solv Protocol, Realm, dForce, Balancer DAO, Vela Exchange, Stargate Finance, MUX Protocol, Tally, Dopex, GMX, Lodestar Finance, Frax Finance, Abracadabra DAO, Umami Finance, OpenOcean, Stella, Notional, Gains Network, Trader Joe, KyberSwap, Pendle, Ramses, Shell Protocol, unshETH, Premia, RabbitHole, Radiant DAO, WINR Protocol, Tales of Elleria]"
0x285c264580354afcdecf32df6c52fd28f3e4337d,52,"[Good Entry Labs, Jones DAO, D2 Finance, Silo Labs, Thales, Sanko GameCorp, Camelot Exchange, Rodeo Finance, Dolomite, Furucombo, Vertex Protocol, Thetanuts Finance, PancakeSwap, Timeswap, DefiEdge, StakeDAO, WOOFi, CVI, Gamma, Perennial Finance, Wormhole Foundation, Angle Protocol, Magpie, Solv Protocol, Realm, dForce, Balancer DAO, Vela Exchange, Stargate Finance, MUX Protocol, Tally, Dopex, GMX, Lodestar Finance, Frax Finance, Abracadabra DAO, Umami Finance, OpenOcean, Stella, Notional, Gains Network, Trader Joe, KyberSwap, Pendle, Ramses, Shell Protocol, unshETH, Premia, RabbitHole, Radiant DAO, WINR Protocol, Tales of Elleria]"
0x3a551088f59c06a29d33f8efda015db2e0dab0cf,52,"[Good Entry Labs, Jones DAO, D2 Finance, Silo Labs, Thales, Sanko GameCorp, Camelot Exchange, Rodeo Finance, Dolomite, Furucombo, Vertex Protocol, Thetanuts Finance, PancakeSwap, Timeswap, DefiEdge, StakeDAO, WOOFi, CVI, Gamma, Perennial Finance, Wormhole Foundation, Angle Protocol, Magpie, Solv Protocol, Realm, dForce, Balancer DAO, Vela Exchange, Stargate Finance, MUX Protocol, Tally, Dopex, GMX, Lodestar Finance, Frax Finance, Abracadabra DAO, Umami Finance, OpenOcean, Stella, Notional, Gains Network, Trader Joe, KyberSwap, Pendle, Ramses, Shell Protocol, unshETH, Premia, RabbitHole, Radiant DAO, WINR Protocol, Tales of Elleria]"
0xd2f73c9878b728d39960c30c9847d91f7681fe0a,52,"[Good Entry Labs, Jones DAO, D2 Finance, Silo Labs, Thales, Sanko GameCorp, Camelot Exchange, Rodeo Finance, Dolomite, Furucombo, Vertex Protocol, Thetanuts Finance, PancakeSwap, Timeswap, DefiEdge, StakeDAO, WOOFi, CVI, Gamma, Perennial Finance, Wormhole Foundation, Angle Protocol, Magpie, Solv Protocol, Realm, dForce, Balancer DAO, Vela Exchange, Stargate Finance, MUX Protocol, Tally, Dopex, GMX, Lodestar Finance, Frax Finance, Abracadabra DAO, Umami Finance, OpenOcean, Stella, Notional, Gains Network, Trader Joe, KyberSwap, Pendle, Ramses, Shell Protocol, unshETH, Premia, RabbitHole, Radiant DAO, WINR Protocol, Tales of Elleria]"
