granteeName,grantInitiative,amount,tokenAddress,grantSubmissionUrl,grantApprovalAction,percVoteWon,grantPlatform
Silo Labs,STIP - Round 1,1000000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0x354645c337aaf60f8a90ff2846d9e62414b902fae553e30710e58a40bd98b9a9,87.88,Tally
Thales,STIP - Round 1,500000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0xd7c38a5af10a30d35b7f63564969097019aeb59e70a48d4364739ef8594f8f6c,73.37%,Tally
Camelot Exchange,STIP - Round 1,3090000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0x6bf2549bfe0699347d2ceb556339d3c4f9b1ccda71e954cf12decd5a438b82ed,98.19,Tally
Dolomite,STIP - Round 1,1000000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0x727723d66fe020f90d63159a33a61a1cdc3c36d2a0df9b27ef910ddea2a63f18,82.51,Tally
Vertex Protocol,STIP - Round 1,3000000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0x2012049c10ea411c7fcb99d0aacf7348084313e7b78c2170ffb5d93542175319,88.35,Tally
Timeswap,STIP - Round 1,200000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0x4ed98bf0a5018d9ff80780d97d76a7fe9ba11c6c9cd01ab336936d9f400f3087,91.58,Tally
CVI,STIP - Round 1,NaN,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0x22012b7a25907379133a599b89b96572567045d04b26f85f1b4990c5cdb31c7a,46.31,Tally
Gamma,STIP - Round 1,750000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0x93ba405db28122f4d7c1501bb06f9d606320caee1fb4e73dd1baaf05e8d02c01,96.4,Tally
Perennial Finance,STIP - Round 1,750000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0x97f1ffcf2fb02b4adb55807641dc1f8aecceeeed7c446dfebbd63dbf2a636fa4,82.25,Tally
Angle Protocol,STIP - Round 1,700000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0x54aef9378fdb7addaa3b0ec0fbeb7884b4652cff4023abec69f2ac4ac6babdc0,83.94,Tally
Balancer DAO,STIP - Round 1,1200000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0xb8fafe7e097e6620b6d236633029e1bf1327b3a4e3cafcb0d89892b84bde9d72,97.22,Tally
MUX Protocol,STIP - Round 1,6000000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0x7103fe55dd62c506860e27e539243521c5f981b30fe819a5d473cfca9f830ae2,94.96,Tally
Tally,STIP - Round 1,200000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0x3860f7700f2e1d6433b013114b0ff95088c09026b39321ca92c8a55fdb33d1e0,98.46,Tally
Dopex,STIP - Round 1,1500000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0xb370d4093ca52b41e7f6f28562359174129b3e48949fc2e731e0eef77062f7db,98.41,Tally
GMX,STIP - Round 1,12000000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0x868a55f6dd728cde516cce81f33cfe647ab39c9b24b4cb659ab4fa31df071dc6,95.37,Tally
Lodestar Finance,STIP - Round 1,12000000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0x47d78e0fcac0ad664516c7bae6dc93a15d3ed15dfff96b1ab5ab6637dc680d18,95.84,Tally
Frax Finance,STIP - Round 1,1500000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0xce4a31c915826aa857ab730d8b84e9c5bdd171e0c10f06b70cfffdadbf554b6c,97.25,Tally
Abracadabra DAO,STIP - Round 1,1500000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0xd33c2db7a567d3bd9d8c02b826c8c2130c98bf8504de56c4864e9cbfa30711c2,82.5,Tally
Umami Finance,STIP - Round 1,750000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0xad923a4ff0ea227bd9e8693b64125a945ad27d7ccd8ae9e5ecf79b76f9b4a52a,84.38,Tally
OpenOcean,STIP - Round 1,500000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0x8a511e833021b64d63bf518eb9ff447216d83dac9235243f3a139f699d1f98ee,88.79,Tally
Stella,STIP - Round 1,186000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0x82becb89a519f2ddb75811fbcc3b47ae8349003c126eea9039bbcef981852cb2,94.81,Tally
Trader Joe,STIP - Round 1,1510000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0x7c3c3c7386961fe79dea98e8acef576a57b234e53d14e21b1b8bb51baed5e8a4,84.48,Tally
KyberSwap,STIP - Round 1,1500000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0x8ca12ce0c337ef44a7301455197ece2948c9223528a4197ad3ede6960caa6f4a,95.41,Tally
Pendle,STIP - Round 1,2000000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0x72e4eae44f212f81bdea4880b15cbff968a2257849e3aa4dc95bd3f039a3bdd3,97.65,Tally
Premia,STIP - Round 1,900000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0xfc76965b400c55344ca9aa3134c17492b0c4585671965626fd42a19a76beeaca,95.29,Tally
Radiant DAO,STIP - Round 1,2852044,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0x678e4a657f451b1acd6247618e6beb6d258e5ab9eb9122ed276e2486a9d907ee,97.94,Tally
WINR Protocol,STIP - Round 1,2852044,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0x44e5dfaa684ea711bb8cfaef43845b917044dc920e7a1c78d8afed201a416f52,80.07,Tally
Rari Foundation,STIP - Round 1,200000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0x66b953a7cf4de9f6de54e6eb87ae291b5cc62f12c7fed68eba91043607883221,89.17,Tally
Questbook,STIP - Round 1,1000000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0xe07fb357b2b40e042ca58a36a1534afc33a1d313d4781ac433536bc884fc3c65,82.83,Tally
TogetherCrew,Arbitrum New Proposals and Ideas,25000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0x4494cf7375aa61c9a483259737c14b3dba6c04e6&chainId=10&role=community&proposalId=0x62b,NaN,Questbook
Scattering,Arbitrum New Proposals and Ideas,20000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0x4494cf7375aa61c9a483259737c14b3dba6c04e6&chainId=10&role=community&proposalId=0x475&isRenderingProposalBody=true,NaN,Questbook
Mystic,Arbitrum New Proposals and Ideas,13260,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0x4494cf7375aa61c9a483259737c14b3dba6c04e6&chainId=10&role=community&proposalId=0x5dd&isRenderingProposalBody=true,NaN,Questbook
AMLOK,Arbitrum New Proposals and Ideas,24560,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0x4494cf7375aa61c9a483259737c14b3dba6c04e6&chainId=10&role=community&proposalId=65a58ff31a2427b2010361ed&isRenderingProposalBody=true,NaN,Questbook
Buddy Guard,Arbitrum New Proposals and Ideas,22500,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0x4494cf7375aa61c9a483259737c14b3dba6c04e6&chainId=10&role=community&proposalId=0x610&isRenderingProposalBody=true,NaN,Questbook
Hunt NFT,Arbitrum New Proposals and Ideas,7500,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0x4494cf7375aa61c9a483259737c14b3dba6c04e6&chainId=10&role=community&proposalId=0x5a7&isRenderingProposalBody=true,NaN,Questbook
Wallet Labels,Arbitrum New Proposals and Ideas,23700,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0x4494cf7375aa61c9a483259737c14b3dba6c04e6&chainId=10&role=community&proposalId=0x5f6&isRenderingProposalBody=true,NaN,Questbook
Pear Protocol,Arbitrum New Proposals and Ideas,15000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0x4494cf7375aa61c9a483259737c14b3dba6c04e6&chainId=10&role=community&proposalId=0x5f6&isRenderingProposalBody=true,NaN,Questbook
CRIPTO NO PIX,Arbitrum New Proposals and Ideas,10000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0x4494cf7375aa61c9a483259737c14b3dba6c04e6&chainId=10&role=community&proposalId=0x484&isRenderingProposalBody=true,NaN,Questbook
Amelia (The Arbitrum Copilot),Arbitrum New Proposals and Ideas,8000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0x4494cf7375aa61c9a483259737c14b3dba6c04e6&chainId=10&role=community&proposalId=0x583&isRenderingProposalBody=true,NaN,Questbook
Smilee,Arbitrum New Proposals and Ideas,8000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0x4494cf7375aa61c9a483259737c14b3dba6c04e6&chainId=10&role=community&proposalId=0x586&isRenderingProposalBody=true,NaN,Questbook
Build3rs Labs,Arbitrum New Proposals and Ideas,9500,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0x4494cf7375aa61c9a483259737c14b3dba6c04e6&chainId=10&role=community&proposalId=0x590&isRenderingProposalBody=true,NaN,Questbook
Mountain Protocol,Arbitrum New Proposals and Ideas,25000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0x4494cf7375aa61c9a483259737c14b3dba6c04e6&chainId=10&role=community&proposalId=0x4ee&isRenderingProposalBody=true,NaN,Questbook
One Click Crypto,Arbitrum New Proposals and Ideas,22000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0x4494cf7375aa61c9a483259737c14b3dba6c04e6&chainId=10&role=community&proposalId=0x558&isRenderingProposalBody=true,NaN,Questbook
Giveth,Arbitrum New Proposals and Ideas,7500,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0x4494cf7375aa61c9a483259737c14b3dba6c04e6&chainId=10&role=community&proposalId=0x626&isRenderingProposalBody=true,NaN,Questbook
Clique,Arbitrum New Proposals and Ideas,15000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0x4494cf7375aa61c9a483259737c14b3dba6c04e6&chainId=10&role=community&proposalId=0x490&isRenderingProposalBody=true,NaN,Questbook
Questbook,Arbitrum New Proposals and Ideas,null,null,null,null,null,Questbook
ETH Gathering,"Arbitrum Education, Community Growth and Events",8000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0x650b4a0dc2aec18f55adb72f13c5d95631db04be&chainId=10&role=community&proposalId=65d37ac07c1bc08ee1a708fa&isRenderingProposalBody=true,NaN,Questbook
CryptoGalaxy,"Arbitrum Education, Community Growth and Events",16500,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0x650b4a0dc2aec18f55adb72f13c5d95631db04be&chainId=10&role=community&proposalId=65b6b5f0c78801149f53e1fb&isRenderingProposalBody=true,NaN,Questbook
LearnWeb3,"Arbitrum Education, Community Growth and Events",18000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0x650b4a0dc2aec18f55adb72f13c5d95631db04be&chainId=10&role=community&proposalId=0x62a&isRenderingProposalBody=true,NaN,Questbook
Warri,"Arbitrum Education, Community Growth and Events",15151,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0x650b4a0dc2aec18f55adb72f13c5d95631db04be&chainId=10&role=community&proposalId=0x5ca&isRenderingProposalBody=true,NaN,Questbook
Layer3,"Arbitrum Education, Community Growth and Events",17500,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0x650b4a0dc2aec18f55adb72f13c5d95631db04be&chainId=10&role=community&proposalId=0x520&isRenderingProposalBody=true,NaN,Questbook
Crypto al-Arabi,"Arbitrum Education, Community Growth and Events",14025,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0x650b4a0dc2aec18f55adb72f13c5d95631db04be&chainId=10&role=community&proposalId=0x555&isRenderingProposalBody=true,NaN,Questbook
urbe.eth,"Arbitrum Education, Community Growth and Events",18850,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0x650b4a0dc2aec18f55adb72f13c5d95631db04be&chainId=10&role=community&proposalId=0x5a4&isRenderingProposalBody=true,NaN,Questbook
The Rollup,"Arbitrum Education, Community Growth and Events",6250,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0x650b4a0dc2aec18f55adb72f13c5d95631db04be&chainId=10&role=community&proposalId=0x576&isRenderingProposalBody=true,NaN,Questbook
The Blockchain Innovation Hub,"Arbitrum Education, Community Growth and Events",16000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0x650b4a0dc2aec18f55adb72f13c5d95631db04be&chainId=10&role=community&proposalId=0x53e&isRenderingProposalBody=true,NaN,Questbook
MetricsDAO,"Arbitrum Education, Community Growth and Events",20500,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0x650b4a0dc2aec18f55adb72f13c5d95631db04be&chainId=10&role=community&proposalId=0x49b&isRenderingProposalBody=true,NaN,Questbook
Nearx Innovation School,"Arbitrum Education, Community Growth and Events",9500,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0x650b4a0dc2aec18f55adb72f13c5d95631db04be&chainId=10&role=community&proposalId=0x47d&isRenderingProposalBody=true,NaN,Questbook
DoDAO,"Arbitrum Education, Community Growth and Events",19500,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0x650b4a0dc2aec18f55adb72f13c5d95631db04be&chainId=10&role=community&proposalId=0x499&isRenderingProposalBody=true,NaN,Questbook
Ethereum México,"Arbitrum Education, Community Growth and Events",5000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0x650b4a0dc2aec18f55adb72f13c5d95631db04be&chainId=10&role=community&proposalId=0x474&isRenderingProposalBody=true,NaN,Questbook
DeFi Africa,"Arbitrum Education, Community Growth and Events",9750,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0x650b4a0dc2aec18f55adb72f13c5d95631db04be&chainId=10&role=community&proposalId=0x483&isRenderingProposalBody=true,NaN,Questbook
Questbook,"Arbitrum Education, Community Growth and Events",null,null,null,null,null,Questbook
WorldWarDAO,Arbitrum Gaming,15000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0xbf93fc6825b5e9ba9a3d7fcf3d14cdfcf3b4c734&chainId=10&role=community&proposalId=65b4331ec78801149f4e9301,NaN,Questbook
Fair Protocol,Arbitrum Gaming,15000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0xbf93fc6825b5e9ba9a3d7fcf3d14cdfcf3b4c734&chainId=10&role=community&proposalId=0x5af&isRenderingProposalBody=true,NaN,Questbook
Puzzled,Arbitrum Gaming,22500,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0xbf93fc6825b5e9ba9a3d7fcf3d14cdfcf3b4c734&chainId=10&role=community&proposalId=0x5ad&isRenderingProposalBody=true,NaN,Questbook
DATA2073,Arbitrum Gaming,20000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0xbf93fc6825b5e9ba9a3d7fcf3d14cdfcf3b4c734&chainId=10&role=community&proposalId=0x5f9&isRenderingProposalBody=true,NaN,Questbook
Spike,Arbitrum Gaming,3500,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0xbf93fc6825b5e9ba9a3d7fcf3d14cdfcf3b4c734&chainId=10&role=community&proposalId=0x628&isRenderingProposalBody=true,NaN,Questbook
Chaquer,Arbitrum Gaming,12000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0xbf93fc6825b5e9ba9a3d7fcf3d14cdfcf3b4c734&chainId=10&role=community&proposalId=0x469&isRenderingProposalBody=true,NaN,Questbook
Gaming Startup Collective,Arbitrum Gaming,6900,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0xbf93fc6825b5e9ba9a3d7fcf3d14cdfcf3b4c734&chainId=10&role=community&proposalId=0x53d&isRenderingProposalBody=true,NaN,Questbook
Land Labor and Capital,Arbitrum Gaming,18000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0xbf93fc6825b5e9ba9a3d7fcf3d14cdfcf3b4c734&chainId=10&role=community&proposalId=0x4a1&isRenderingProposalBody=true,NaN,Questbook
"Permadeath Studios, Inc",Arbitrum Gaming,22500,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0xbf93fc6825b5e9ba9a3d7fcf3d14cdfcf3b4c734&chainId=10&role=community&proposalId=0x537&isRenderingProposalBody=true,NaN,Questbook
Gaming Chronicles,Arbitrum Gaming,3300,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0xbf93fc6825b5e9ba9a3d7fcf3d14cdfcf3b4c734&chainId=10&role=community&proposalId=0x559&isRenderingProposalBody=true,NaN,Questbook
Spire,Arbitrum Gaming,17500,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0xbf93fc6825b5e9ba9a3d7fcf3d14cdfcf3b4c734&chainId=10&role=community&proposalId=0x4c1&isRenderingProposalBody=true,NaN,Questbook
etherSource,Arbitrum Gaming,24000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0xbf93fc6825b5e9ba9a3d7fcf3d14cdfcf3b4c734&chainId=10&role=community&proposalId=0x556&isRenderingProposalBody=true,NaN,Questbook
Sapphire Studios,Arbitrum Gaming,25000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0xbf93fc6825b5e9ba9a3d7fcf3d14cdfcf3b4c734&chainId=10&role=community&proposalId=0x4de&isRenderingProposalBody=true,NaN,Questbook
Smithonia,Arbitrum Gaming,25000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0xbf93fc6825b5e9ba9a3d7fcf3d14cdfcf3b4c734&chainId=10&role=community&proposalId=0x47b&isRenderingProposalBody=true,NaN,Questbook
Frags,Arbitrum Gaming,5000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0xbf93fc6825b5e9ba9a3d7fcf3d14cdfcf3b4c734&chainId=10&role=community&proposalId=0x471&isRenderingProposalBody=true,NaN,Questbook
